_id,name,_desc,condition,coin,exp,artistid,sponsorid,num_of_action,num_of_bonus,bonus_exp,bonus_coin,fromdtm,todtm
1494489957935,Love กันจริงจัง,กด Love Video ใดก็ได้ ของศิลปินท่านใดก็ได้ รับไปเลย 50 Coins + 100 Exp,ดู video ของศิลปินที่ชื่นชอบ แล้วกด Love จำนวน 5 คลิป,50,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
ACCINFOMISSION,ระบุข้อมูลส่วนตัว,ผู้ใช้งานทำการกรอกข้อมูลส่วนตัวให้ครบ พร้อมรับ 10 Coin,กรอกข้อมูลส่วนตัวให้ครบ รับ Coin ไปเลย,10,0,COMMON,,1,0,0,,2016-10-11 01:23:32,2050-12-31 00:00:00
1494491526872,Share กระหน่ำ,เข้าหน้า media เพื่อดูและแชร์ video ของศิลปินท่านใดก็ได้ จำนวน 5 video รับไปเลย 50 Coins + 100 Exp,ดู video ของศิลปินที่ชื่นชอบ แล้วกด Share จำนวน 5 คลิป,50,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-12-31 23:59:00
1494751819406,Brainwash Playlist,ฟังเพลง อ่อนแอก็แพ้ไป วนครบ 10 รอบ,ฟังเพลง อ่อนแอก็แพ้ไป วนครบ 10 รอบ,100,100,1492658911689,1494388191860,10,0,0,0,2017-05-14 00:00:00,2017-05-17 00:00:00
1496148896846,อยากรู้จักกัน,มาตอบคำถามเกี่ยวกับคุณ 18 ข้อ,อยากรู้จักคุณจัง มาตอบคำถามรับ coin กับ exp กันเถอะ,100,100,,1494388191860,1,0,0,0,2017-05-30 00:00:00,2017-06-30 23:59:00
1496983202899,Cat Radio Quiz #4,มาตอบคำถามชุดที่ 4 กับคำถาม 4 ข้อเหมือนเคย ตอบถูกหมดรับไปเลย 100 coins! กับ 100 XP!  พิเศษ 10 คนแรกรับไปเลย Coin + XP คูณ 2,คุณรู้จริงเรื่อง Cat Radio แค่ไหน? ภาค 4 !,100,100,,1494911606032,1,10,100,100,2017-06-11 10:00:00,2017-07-01 23:59:00
1497325206822,Loveis Fans Quiz #1,ตอบถูกหมดรับไปเลย 200 coins 200 XP ( 10 คนแรกมีโบนัสด้วยนะจ๊ะ อย่ารอช้า!! ),ใครคิดว่ารู้จริงเรื่องค่ายเลิฟอีส มาตอบคำถาม 5 ข้อนี้กัน!! โอกาสตอบมีรอบเดียว!,200,200,,1495172907091,1,10,100,100,2017-06-13 12:00:00,2017-06-19 23:59:00
1497926686189,Loveis Musical Quiz #1,ทายว่าดนตรีท่อนนี้มาจากเพลงใด ตอบถูกหมด3ข้อรับไปเลย 100 coins 100 XPs  ด่วน! 200 คนเท่านั้น!!!,เมื่อฟังดนตรีท่อนสั้นๆจะรู้ไหมนะว่ามาจากเพลงอะไร :),100,100,,1495172907091,1,0,0,0,2017-06-20 12:00:00,2017-06-25 23:59:00
1498107395489,ฟังเพลงของ ZomMarie ลุ้นรับสิทธิ์ FanSter Date,ฟังเพลงของ ZomMarie ให้ครบ 5 เพลง ลุ้นรับสิทธิ์เป็นผู้โชคดี FanSter Date   with ZomMarie และได้ฟัง ZomMarie ร้องเพลงซิงเกิ้ลใหม่ “ช่วงเวลา” ครั้งแรกก่อนใครที่บูธ FanSter เวลา 14.00น. ในงาน CatFoodival  วันที่ 1 กรกฏาคมนี้   ด่วน!! 500 คนเท่านั้นที่จะเล่น Mission นี้ได้ !!! ช้าหมดอดนะคะ ^^,ฟังเพลงของ ZomMarie ครบ 5 เพลง,100,100,1496144121013,1494388191860,5,0,0,0,2017-06-22 12:00:00,2017-06-28 12:00:00
1498239229913,ฟังเพลงของ NAP A LEAN ลุ้นรับสิทธิ์ FanSter Date,ดู MV หยุดเลยอย่าร้อง ของ NAP A LEAN เพื่อลุ้นเป็นผู้โชคดีได้เดทแบบตัวต่อตัวและเรียนอู้คำเมืองกับ NAP A LEAN ที่บูธ FanSter ในงาน Cat Foodival 1 กค.นี้   จำกัดจำนวนคนเล่น mission นี้แค่ 500 คนเท่านั้น!!  ช้าหมด! อดได้เป็น 1 ใน 10 คนผู้โชคดีที่ได้ FanSter Date กับ NAP A LEAN นะเจ้า :),ดู MV เพลง หยุดเลยอย่าร้อง พร้อมตอบคำถาม,100,100,,1494388191860,1,0,0,0,2017-06-24 12:00:00,2017-06-28 12:00:00
