_id,artistid,name,rewardtype,redeem_coin,display_from_dtm,display_to_dtm,available_redeem_from_dtm,available_redeem_to_dtm,description,missionid
1498469974476,1494819885787,ดูดวงกับสอง - ยิบโซตัวต่อตัวในห้องจัดรายการ,REWARD_LUCKY_DRAW,100,2017-06-27 21:00:00,2017-06-27 22:00:00,2017-06-27 21:00:00,2017-06-27 22:00:00,ลุ้นสิทธิชิงโชคได้ดูดวงแบบตัวต่อตัวกับสอง พาราด็อกซ์ ผู้เคยถูกล็อตเตอรี่ติดกัน 7 งวดมาแล้ว และยิปโซในห้องจัด Cat Radio ในวันพฤหัสบดีที่ 29 มิย. เวลา 22:00 - 23:00   ประกาศผลวันพุธที่ 28 มิย. 10 โมงเช้า จำนวน 2 ท่าน  ยิ่ง redeem มาก ยิ่งรับสิทธิ์ลุ้นมากขึ้น!! แต่ทั้งนี้เพื่อเป็นการกระจายความสุขให้ผู้เล่นหลากหลายคน  *** ขอสงวนสิทธิ์หนึ่งท่านได้รับรางวัลมากที่สุดเพียงหนึ่งรางวัลเท่านั้น ***  หมายเหตุ : ต้องเล่น Mission "ดูดวงตัวต่อตัวกับสองและยิปโซ" เพื่อกรอกข้อมูลที่จำเป็นต่อการดูดวงก่อนถึงจะแลกลุ้นสิทธิ์ได้ดูดวงนะ :),1498468567068
1498470816501,1494819885787,ดูดวงกับสอง - ยิบโซตัวต่อตัวในห้องจัดรายการ,REWARD_LUCKY_DRAW,100,2017-06-28 12:00:00,2017-06-29 00:00:00,2017-06-28 12:00:00,2017-06-29 00:00:00,ลุ้นสิทธิชิงโชคได้ดูดวงแบบตัวต่อตัวกับสอง พาราด็อกซ์ ผู้เคยถูกล็อตเตอรี่ติดกัน 7 งวดมาแล้ว และยิปโซในห้องจัด Cat Radio ในวันพฤหัสบดีที่ 29 มิย. เวลา 22:00 - 23:00   ประกาศผลวันที่ 29 มิย. ไม่เกินเที่ยงวัน จำนวน 2 ท่าน  ยิ่ง redeem มาก ยิ่งรับสิทธิ์ลุ้นมากขึ้น!! แต่ทั้งนี้เพื่อเป็นการกระจายความสุขให้ผู้เล่นหลากหลายคน  *** ขอสงวนสิทธิ์หนึ่งท่านได้รับรางวัลมากที่สุดเพียงหนึ่งรางวัลเท่านั้น ***  หมายเหตุ : ต้องเล่น Mission "ดูดวงตัวต่อตัวกับสองและยิปโซ" เพื่อกรอกข้อมูลที่จำเป็นต่อการดูดวงก่อนถึงจะแลกลุ้นสิทธิ์ได้ดูดวงนะ :),1498468567068
1498452308901,1492658911689,FanSter Date และฟังเพลงอ่อนแอก็แพ้ไป ในแบบอะคูลสติกสดๆ,REWARD_LUCKY_DRAW,100,2017-06-26 12:00:00,2017-07-01 23:59:00,2017-06-26 12:00:00,2017-06-29 15:40:42,Date กับ MEAN ที่บูธ FanSter ในงาน Cat Foodival 1 กค.นี้ ประกาศผลวันที่ 29 มิย.หลังเที่ยง!  ยิ่ง redeem มาก ยิ่งรับสิทธิ์ลุ้นมากขึ้น!! แต่ทั้งนี้เพื่อเป็นการกระจายความสุขให้ผู้เล่นหลากหลายคน  *** ขอสงวนสิทธิ์หนึ่งท่านได้รับรางวัลมากที่สุดเพียงหนึ่งรางวัลเท่านั้น ***  หมายเหตุ : ต้องเล่น Mission "ฟังเพลงของ MEAN ลุ้นรับสิทธิ์ Fanster Date" ของ MEAN ก่อนเท่านั้นถึงจะแลกได้,1498449903708
1497499886554,1494997862363,ลุ้นแลกสิทธิ์จับสลากรับผ้ากันเปื้อน FanSter Cat Foodival,REWARD_LUCKY_DRAW,0,2017-06-15 10:00:00,2017-06-30 12:00:00,2017-06-15 10:00:00,2017-07-30 12:00:00,ลุ้นสิทธิ์รับผ้ากันเปื้อน FanSter  Cat Foodival  มีกระเป๋า ใส่ของด้านหน้า ดีไซน์เท่ 20 รางวัล รับได้ที่งาน Cat Foodival หรือ ทางไปรษณีย์  ประกาศผลวันศุกร์ที่ 30 มิย. 12:00 น.   *** ต้องเล่น Mission ชวนเพื่อนมารู้จักแฟนก่อนถึงจะแลกสิทธิ์ลุ้นรับรางวัลได้ 1 คน 1 สิทธิ์เท่านั้น!!! ***  ปล: เพื่อนทั้ง 2 ที่ชวนมาจะต้องเข้าใช้ FanSter ผ่าน login with Facebook ก่อนวันประกาศผลด้วยนะ คุณจึงจะมีสิทธิ์ลุ้นรับรางวัล,1497496302604
1498808862213,1494819885787,ดูดวงกับสอง - ยิปโซ ที่บูธ FanSter,REWARD_NORMAL,500,2017-06-30 13:00:00,2017-07-01 23:00:00,2017-07-01 12:00:00,2017-07-01 12:45:00,มาดูดวงกับหมอ สอง-ยิปโซ ที่บูธ FanSter เวลา 1pm ตรง ใช้เพียง 500 Coins  จำกัดแค่ 3 สิทธิ์ มาก่อนได้ก่อนจ้า,
1498809602523,1494818639822,ดินเนอร์แบบส่วนตัวกับ กันต์ และ ไมเคิล,REWARD_NORMAL,1000,2017-06-30 13:00:00,2017-07-01 23:00:00,2017-07-01 18:30:00,2017-07-01 19:15:00,ดินเนอร์แบบส่วนตัวกับ กันต์ และ ไมเคิล ที่บูธ FanSter เวลา 19:30 ใช้ 1000 Coins  จำกัดแค่ 2 คนเท่านั้นนะ  เริ่มเปิดให้แลกตอน 18:30 นะคะ ใครเร็วใครได้จ้าาา :),
1498483110946,1498471709330,ของที่ระลึกจาก INK และ EARTH,REWARD_LUCKY_DRAW,100,2017-06-26 20:00:00,2017-07-04 12:00:00,2017-06-26 20:00:00,2017-07-03 16:47:54,ประกาศผลแล้ว!! สามารถเช็กผลได้ในหน้า Reward Histiry ได้เลยจ้า :),1498481977332
1499246853746,1461317604625,หมอนรองคอ NAP A LEAN - NAP A LONE,REWARD_NORMAL,2500,2017-07-05 16:30:00,2017-07-12 23:59:00,2017-07-05 16:30:00,2017-07-12 23:59:00,หมอนรองคอลายปัก Nap A Lean Nap A Lone   ด่วน! จำนวนจำกัด อย่าลืมมาแลกกันนะเจ้า :)  หมายเหตุ : ต้องทำ Mission "หยุดเลยอย่าร้อง" ของ Nap A Lean ก่อนนะเจ้า ถึงจะแลกหมอนรองคอได้,1499167427742
1496164638190,1494997862363,ลุ้นรับตั๋ว KAAN Show 2 ที่นั่ง 5 รางวัล,REWARD_LUCKY_DRAW,100,2017-05-31 00:00:00,2017-06-26 00:00:00,2017-05-31 00:00:00,2017-06-26 00:00:00,แลกสิทธิ์ลุ้นรับตั๋วชม KAAN Show สุดอลังการ จำนวน 5 รางวัล รางวัลละ 2 ที่นั่ง 100 coin แลกได้ 1 สิทธิ์ ยิ่งแลกมาก ยิ่งมีสิทธิ์มาก ประกาศผลผู้โชคดี วันที่ 26 มิ.ย. 2017 ทาง https://www.facebook.com/fansterapp/  เงื่อนไขการใช้ตั๋วสำหรับผู้ที่ได้รับรางวัล มีดังนี้ 1. ใช้สำหรับ 2 ที่นั่ง OCEAN ZONE เท่านั้น 2. ต้องจองบัตรภายในสิ้นเดือน มิ.ย. (1 มิ.ย.- 30 มิ.ย. 2017) 3. สามารถเลือกรอบการแสดงได้ตั้งแต่วันนี้ - 31 ก.ค. 2017,
1498120064287,1496645864615,FanSter Date และฟัง ZomMarie ร้องเพลงสดๆ,REWARD_LUCKY_DRAW,100,2017-06-22 12:00:00,2017-07-01 23:59:00,2017-06-22 12:00:00,2017-06-29 12:00:00,FanSter Date และฟัง ZomMarie ร้องเพลงซิงเกิ้ลใหม่ “ช่วงเวลา”  ครั้งแรกก่อนใครที่บูธ FanSter ในงาน CatFoodival  วันที่ 1 ก.ค.นี้ เวลา 14.00 น. แอร์พอร์ต เรล ลิ้งค์ สถานีมักกะสัน  ยิ่ง redeem มาก ยิ่งรับสิทธิ์ลุ้นมากขึ้น!! แต่ทั้งนี้เพื่อเป็นการกระจายความสุขให้ผู้เล่นหลากหลายคน  *** ขอสงวนสิทธิ์หนึ่งท่านได้รับรางวัลมากที่สุดเพียงหนึ่งรางวัลเท่านั้น ***  ประกาศผลผู้โชคดีวันที่ 29 มิย. หลังเที่ยง,1498107395489
